unix_ms,rel_ms,tag_id,pass_id,rssi
946754860394,135925,1,1,-55
946754860406,135930,1,1,-55
946754860406,135935,1,1,-55
946754860407,135940,1,1,-55
946754860407,135945,1,1,-55
946754860408,135950,1,1,-55
946754860408,135955,1,1,-55
946754860409,135959,1,1,-55
946754860409,135965,1,1,-54
946754860410,135970,1,1,-55
946754860410,135975,1,1,-55
946754860411,135980,1,1,-55
946754860411,135985,1,1,-55
946754860412,135990,1,1,-55
946754860412,135995,1,1,-55
946754860413,136000,1,1,-55
946754860413,136004,1,1,-55
946754860414,136010,1,1,-55
946754860414,136015,1,1,-55
946754860415,136020,1,1,-55
946754860415,136025,1,1,-55
946754860416,136030,1,1,-55
946754860416,136035,1,1,-55
946754860417,136040,1,1,-55
946754860417,136044,1,1,-55
946754860418,136050,1,1,-55
946754860418,136055,1,1,-55
946754860419,136060,1,1,-55
946754860419,136065,1,1,-55
946754860419,136070,1,1,-55
946754860420,136075,1,1,-55
946754860420,136080,1,1,-55
946754860421,136084,1,1,-55
946754860421,136090,1,1,-55
946754860422,136095,1,1,-55
946754860422,136100,1,1,-55
946754860423,136105,1,1,-55
946754860423,136110,1,1,-55
946754860424,136115,1,1,-54
946754860424,136120,1,1,-55
946754860425,136125,1,1,-55
946754860425,136129,1,1,-55
946754860426,136135,1,1,-55
946754860426,136140,1,1,-55
946754860427,136145,1,1,-55
946754860427,136150,1,1,-55
946754860428,136155,1,1,-55
946754860428,136160,1,1,-55
946754860429,136165,1,1,-55
946754860429,136169,1,1,-55
946754860430,136175,1,1,-55
946754860430,136180,1,1,-55
946754860431,136185,1,1,-55
946754860431,136190,1,1,-55
946754860432,136195,1,1,-55
946754860432,136200,1,1,-55
946754860433,136205,1,1,-55
946754860433,136209,1,1,-55
946754860434,136215,1,1,-55
946754860434,136220,1,1,-55
946754860435,136225,1,1,-55
946754860435,136230,1,1,-55
946754860436,136235,1,1,-55
946754860436,136240,1,1,-55
946754860437,136245,1,1,-55
946754860437,136250,1,1,-55
946754860438,136254,1,1,-55
946754860438,136260,1,1,-55
946754860439,136265,1,1,-55
946754860439,136270,1,1,-55
946754860440,136275,1,1,-55
946754860440,136280,1,1,-55
946754860441,136285,1,1,-55
946754860441,136290,1,1,-55
946754860441,136294,1,1,-55
946754860442,136300,1,1,-55
946754860442,136305,1,1,-55
946754860443,136310,1,1,-55
946754860443,136315,1,1,-55
946754860444,136320,1,1,-55
946754860444,136325,1,1,-55
946754860445,136330,1,1,-55
946754860445,136334,1,1,-55
946754860446,136340,1,1,-55
946754860446,136345,1,1,-55
946754860447,136350,1,1,-55
946754860447,136355,1,1,-55
946754860448,136360,1,1,-55
946754860652,136365,1,1,-55
946754860653,136370,1,1,-55
946754860653,136375,1,1,-55
946754860654,136379,1,1,-55
946754860654,136385,1,1,-55
946754860655,136390,1,1,-55
946754860655,136395,1,1,-55
946754860656,136400,1,1,-55
946754860656,136405,1,1,-55
946754860657,136410,1,1,-55
946754860657,136415,1,1,-55
946754860658,136419,1,1,-55
946754860658,136425,1,1,-55
946754860659,136430,1,1,-55
946754860659,136435,1,1,-55
946754860660,136440,1,1,-55
946754860660,136445,1,1,-55
946754860661,136450,1,1,-55
946754860661,136455,1,1,-55
946754860662,136459,1,1,-55
946754860662,136465,1,1,-55
946754860663,136470,1,1,-55
946754860663,136475,1,1,-55
946754860664,136480,1,1,-55
946754860664,136485,1,1,-55
946754860665,136490,1,1,-55
946754860665,136495,1,1,-55
946754860666,136500,1,1,-55
946754860666,136504,1,1,-55
946754860667,136510,1,1,-55
946754860667,136515,1,1,-54
946754860668,136520,1,1,-55
946754860668,136525,1,1,-55
946754860668,136530,1,1,-55
946754860669,136535,1,1,-55
946754860669,136540,1,1,-55
946754860670,136544,1,1,-55
946754860670,136550,1,1,-54
946754860671,136555,1,1,-55
946754860671,136560,1,1,-55
946754860672,136565,1,1,-55
946754860672,136570,1,1,-55
946754860673,136575,1,1,-55
946754860673,136580,1,1,-55
946754860674,136584,1,1,-55
946754860684,136590,1,1,-55
946754860685,136595,1,1,-55
946754860687,136600,1,1,-55
946754860691,136605,1,1,-55
946754860696,136610,1,1,-55
946754860701,136615,1,1,-55
946754860706,136620,1,1,-55
946754860711,136625,1,1,-55
946754860716,136629,1,1,-55
946754860722,136635,1,1,-55
946754860727,136640,1,1,-55
946754860731,136645,1,1,-55
946754860736,136650,1,1,-55
946754860741,136655,1,1,-55
946754860746,136660,1,1,-55
946754860751,136665,1,1,-55
946754860756,136669,1,1,-55
946754860762,136675,1,1,-55
946754860767,136680,1,1,-55
946754860771,136685,1,1,-55
946754860776,136690,1,1,-55
946754860781,136695,1,1,-55
946754860786,136700,1,1,-55
946754860791,136705,1,1,-55
946754860796,136709,1,1,-54
946754860802,136715,1,1,-55
946754860807,136720,1,1,-55
946754860812,136725,1,1,-55
946754860816,136730,1,1,-55
946754860821,136735,1,1,-55
946754860826,136740,1,1,-55
946754860831,136745,1,1,-55
946754860836,136750,1,1,-55
946754860841,136754,1,1,-55
946754860847,136760,1,1,-55
946754860852,136765,1,1,-55
946754860856,136770,1,1,-55
946754860861,136775,1,1,-55
946754860866,136780,1,1,-55
946754860871,136785,1,1,-55
946754860876,136790,1,1,-55
946754860881,136794,1,1,-55
946754860887,136800,1,1,-55
946754860892,136805,1,1,-55
946754860897,136810,1,1,-55
946754860901,136815,1,1,-55
946754860906,136820,1,1,-55
946754860911,136825,1,1,-55
946754860916,136830,1,1,-55
946754860921,136834,1,1,-55
946754860927,136840,1,1,-55
946754860932,136845,1,1,-55
946754860936,136850,1,1,-55
946754860941,136855,1,1,-55
946754860946,136860,1,1,-55
946754861142,136865,1,1,-55
946754861143,136870,1,1,-55
946754861143,136875,1,1,-55
946754861144,136879,1,1,-55
946754861144,136885,1,1,-55
946754861145,136890,1,1,-55
946754861145,136895,1,1,-55
946754861146,136900,1,1,-55
946754861146,136905,1,1,-55
946754861147,136910,1,1,-55
946754861147,136915,1,1,-55
946754861147,136919,1,1,-55
946754861148,136925,1,1,-55
946754861148,136930,1,1,-55
946754861149,136935,1,1,-55
946754861149,136940,1,1,-55
946754861150,136945,1,1,-55
946754861150,136950,1,1,-55
946754861151,136955,1,1,-55
946754861151,136959,1,1,-55
946754861152,136965,1,1,-55
946754861152,136970,1,1,-55
946754861153,136975,1,1,-55
946754861153,136980,1,1,-55
